timestamp,run_id,command,cv_scheme,model,local_macro_f1,local_weighted_f1,submission_path,online_score,notes
2026-05-01T19:10:00+08:00,exact_combo_oof,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\train.py",5-fold StratifiedKFold seed=20260501,exact feature-combo probability,0.7476389731,0.7665938845,,,"Strong baseline because 94.555% of test feature combos are seen in train."
2026-05-01T19:20:00+08:00,blend_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\train.py",5-fold StratifiedKFold seed=20260501,"0.3 exact + 0.7 mean(lgbm,catboost,xgb,extra_trees,hist_gbdt), class weights [1.0,1.15,1.0]",0.7550878798,0.7715343518,work/data_security/powershell_malicious_script_detection/submissions/submission_blend_v1.csv,0.69678,"Random CV clearly overestimates leaderboard score because train/test drift is large."
2026-05-01T20:50:00+08:00,shift_candidate_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_candidates.py","density-top holdout 30%/40% test-like proxy","0.1 exact + 0.9 mean(lgbm,xgb,hist,extra_trees), class weights [1.0,0.7,1.15]",0.7027485000,,"work/data_security/powershell_malicious_script_detection/submissions/submission_blend_shift_v1.csv",,"Proxy score is average of density-top 30% and 40% holdouts: 0.711957 and 0.693540."
2026-05-01T20:50:00+08:00,shift_candidate_v2,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_candidates.py","density-top holdout 30%/40% test-like proxy","0.1 exact + 0.9 mean(lgbm,xgb,hist,extra_trees), class weights [1.0,0.7,1.20]",0.7026035000,,"work/data_security/powershell_malicious_script_detection/submissions/submission_blend_shift_v2.csv",,"Proxy score is average of density-top 30% and 40% holdouts: 0.711763 and 0.693444."
2026-05-01T20:50:00+08:00,shift_candidate_v3,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_candidates.py","density-top holdout 30%/40% test-like proxy","0.1 exact + 0.9 mean(lgbm,xgb,hist,extra_trees), class weights [1.0,0.7,1.30]",0.7021055000,,"work/data_security/powershell_malicious_script_detection/submissions/submission_blend_shift_v3.csv",,"Proxy score is average of density-top 30% and 40% holdouts: 0.711981 and 0.692230."
2026-05-01T20:50:00+08:00,shift_candidate_core_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_candidates.py","density-top holdout 30%/40% test-like proxy","mean(lgbm,xgb,hist,extra_trees), class weights [1.0,0.7,1.15]",0.7025405000,,"work/data_security/powershell_malicious_script_detection/submissions/submission_core_shift_v1.csv",,"Proxy score is average of density-top 30% and 40% holdouts: 0.711763 and 0.693318."
2026-05-01T22:40:00+08:00,leak_cons_base_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_leak_candidates.py","boundary-band proxy","Per-combo leakage thresholds alpha01=1.0 alpha12=1.0, unseen combo fallback = base_shift",,,"work/data_security/powershell_malicious_script_detection/submissions/submission_leak_cons_base_v1.csv",,"High-risk structure-based candidate. Test prediction counts: 0=15991,1=3147,2=862."
2026-05-01T22:40:00+08:00,leak_cons_block_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_leak_candidates.py","boundary-band proxy","Per-combo leakage thresholds alpha01=1.0 alpha12=1.0, unseen combo fallback = global block rule",,,"work/data_security/powershell_malicious_script_detection/submissions/submission_leak_cons_block_v1.csv",,"More conservative on class 2. Test prediction counts: 0=16396,1=3308,2=296."
2026-05-01T22:40:00+08:00,leak_mid_block_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_leak_candidates.py","boundary-band proxy","Per-combo leakage thresholds alpha01=0.8 alpha12=0.9, unseen combo fallback = global block rule",,,"work/data_security/powershell_malicious_script_detection/submissions/submission_leak_mid_block_v1.csv",,"Moderate structure-based candidate. Test prediction counts: 0=16067,1=3336,2=597."
2026-05-01T22:40:00+08:00,leak_tuned_base_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_leak_candidates.py","boundary-band proxy","Per-combo leakage thresholds alpha01=0.7 alpha12=0.74, unseen combo fallback = base_shift",0.7364798796,,"work/data_security/powershell_malicious_script_detection/submissions/submission_leak_tuned_base_v1.csv",,"Best score on the boundary-band proxy among tested threshold variants."
2026-05-01T22:40:00+08:00,leak_global01_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_leak_candidates.py","high-risk heuristic","Global position rule: first 16500 -> 0, last 3500 -> 1",,,"work/data_security/powershell_malicious_script_detection/submissions/submission_leak_global01_v1.csv",,"Extreme candidate with no class 2 predictions."
2026-05-01T23:05:00+08:00,leak_cons_base_online,,,,,,"work/data_security/powershell_malicious_script_detection/submissions/submission_leak_cons_base_v1.csv",0.37876,"Catastrophic online score. Strong evidence that the monotone name-order leakage hypothesis is wrong for test ordering."
2026-05-01T23:05:00+08:00,leak_mid_block_online,,,,,,"work/data_security/powershell_malicious_script_detection/submissions/submission_leak_mid_block_v1.csv",0.38024,"Second catastrophic online score. Do not continue along leakage-order candidates."
